Prueba 1
T1 T2 %Carga
0.0 0.0 44.3
0.0 0.0 44.3
0.0 0.0 44.3
0.0 0.0 44.3
0.0 0.0 44.3
0.0 0.0 44.3
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 15.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
31.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 43.7
0.0 0.0 43.7
16.0 0.0 43.7
0.0 0.0 43.7
0.0 16.0 43.7
16.0 0.0 43.7
0.0 0.0 43.7
0.0 0.0 43.7
16.0 0.0 43.7
16.0 0.0 43.7
0.0 0.0 43.7
16.0 0.0 43.7
0.0 0.0 43.7
0.0 0.0 43.7
0.0 0.0 34.4
0.0 0.0 34.4
0.0 0.0 34.4
0.0 0.0 34.4
0.0 0.0 34.4
15.0 0.0 34.4
0.0 0.0 34.4
0.0 0.0 34.4
16.0 0.0 34.4
0.0 0.0 34.4
16.0 0.0 34.4
0.0 0.0 34.4
0.0 0.0 34.4
0.0 0.0 25.3
0.0 0.0 25.3
0.0 0.0 25.3
0.0 0.0 25.3
16.0 0.0 25.3
0.0 0.0 25.3
31.0 0.0 25.3
0.0 0.0 25.3
0.0 0.0 25.3
0.0 0.0 25.3
0.0 0.0 25.3
0.0 0.0 25.3
0.0 0.0 25.3
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 16.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
16.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 25.8
0.0 0.0 25.8
0.0 0.0 25.8
